hydrocal=Sample name,opc,T,h,d2HP,d18OP,d2HL,d18OL,d2HA,d18OA,d2HR,d18OR,LEL, comment
S01 2024.7.15,3,31.2,0.72,-79.83,-11.67,-38.5,-6.17,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.7.24,3,35,0.48,-79.83,-11.67,-43.99,-6.84,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.8.3,3,33.3,0.55,-79.83,-11.67,-45.16,-7.06,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.8.20,3,33.1,0.52,-79.83,-11.67,-47.6,-7.39,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.8.31,3,35.3,0.44,-79.83,-11.67,-49.47,-7.65,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.9.9,3,33.4,0.56,-79.83,-11.67,-50.02,-7.74,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.9.16,3,32.6,0.46,-79.83,-11.67,-49.63,-7.67,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.9.24,3,29.8,0.57,-79.83,-11.67,-49.61,-7.66,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.9.29,3,32.5,0.51,-79.83,-11.67,-50.34,-7.66,,,-46.55,-7.411,4.5741,test for known dR and LEL
2024.10.13,3,19.9,0.861,-79.83,-11.67,-50.71,-7.84,,,-46.55,-7.411,5.5508,test for known dR and LEL
